experiment_id,course_section,exercise_problem_number,exercise_problem_title,exercise_requirement,requirement_status,coverage_commitment,baseline_coverage,research_question,hypothesis,model_family,input_modalities,dataset_version,train_split,validation_split,test_split_allowed,test_split_path,final_test_evaluation_authorized,random_seed_policy,configuration_path,primary_metric,secondary_metrics,resource_tier,expected_outputs,execution_status,selection_eligible,result_summary,evidence_paths,prerequisites,safety_notes
FND-001,deep_learning_fundamentals,1,Load and inspect the dataset,"Inspect dimensions, grouped split composition, label balance, image values, text lengths, and representative examples.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,What data properties and possible leakage risks must be understood before training?,"The committed integrated dataset is class-balanced by construction and group-isolated, while image and text distributions reveal category-specific variation.",exploratory_data_analysis,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-001.json,data_integrity_pass,class_balance | group_overlap | image_value_distribution | text_length_distribution,TIER_0,dataset profile JSON | EDA tables | representative example panel,PLANNED,false,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-001/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-002,deep_learning_fundamentals,2,Data loaders and batch inspection,"Build Keras datasets or NumPy inputs, inspect one batch, explain shapes, dtypes, labels, and shuffle policy.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,Does the multimodal loader preserve image-text-label alignment and grouped split boundaries?,A deterministic loader with train-only shuffling will preserve aligned inputs and stable validation order.,data_pipeline,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-002.json,batch_contract_pass,batch_shape | dtype_checks | alignment_checks | determinism_checks,TIER_0,batch contract JSON | sample batch table | loader integrity report,PLANNED,false,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-002/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-003,deep_learning_fundamentals,3,Baseline neural model,"Create a one-hidden-layer neural baseline, inspect weights, and confirm that repeated updates reduce loss on a small batch.",required,PLANNED,PARTIAL_EXTENSION,Can a minimal multimodal or single-modality neural model learn a valid gradient signal?,A compact baseline will reduce small-batch loss and produce finite class probabilities before full training.,dense_neural_baseline,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-003.json,small_batch_loss_reduction,finite_loss | probability_sum_error | parameter_count,TIER_1,model summary | weight statistics | small-batch diagnostic curve,PLANNED,false,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-003/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-004,deep_learning_fundamentals,4,Overfit one batch,Overfit a deliberately small batch and plot loss and accuracy learning curves.,required,PLANNED,NEW_EXPERIMENT,"Can the selected architecture memorize a small aligned batch, ruling out major implementation defects?",A sufficiently expressive model will approach near-perfect batch accuracy and very low loss.,overfit_diagnostic,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-004.json,final_batch_accuracy,final_batch_loss | epochs_to_threshold | gradient_finiteness,TIER_1,overfit learning curves | threshold result JSON | diagnostic notes,PLANNED,false,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-004/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-005,deep_learning_fundamentals,5,Training and validation loop,"Run controlled training and validation epochs, save learning curves, and document selected loop-failure demonstrations.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,Does the training loop update only from train data while validation remains evaluation-only?,A correct loop will lower train loss while producing deterministic validation metrics and no validation updates.,training_loop,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-005.json,validation_macro_f1,train_loss | validation_loss | validation_accuracy | generalization_gap,TIER_2,learning curves | loop state audit | controlled failure observations,PLANNED,true,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-005/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-006,deep_learning_fundamentals,6,Compare optimizers and learning rates,"Compare SGD, RMSprop, Adam, and AdamW across predefined learning rates; include schedule and early-stopping variants.",required,PLANNED,NEW_EXPERIMENT,Which optimizer and learning-rate policy gives the best validation performance and stability under a fixed architecture?,"Adaptive optimizers will converge faster on the compact dataset, while a controlled schedule may improve stability.",optimizer_comparison,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-006.json,validation_macro_f1,validation_accuracy | epochs_to_best | training_time_seconds | seed_std_macro_f1,TIER_2,optimizer comparison table | learning curves | timing report,PLANNED,true,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-006/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-007,deep_learning_fundamentals,7,Model capacity,"Compare small, medium, and large models, track probabilities and examples, and diagnose underfitting or overfitting.",required,PLANNED,PARTIAL_EXTENSION,"How much capacity is justified by validation performance, stability, and efficiency?",The medium model will provide a better accuracy-efficiency balance than the largest model on the available data.,capacity_comparison,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-007.json,validation_macro_f1,parameter_count | validation_accuracy | generalization_gap | training_time_seconds,TIER_2,capacity table | probability tracking examples | learning curves,PLANNED,true,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-007/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-008,deep_learning_fundamentals,8,Different architectures,"Compare regularization, batch normalization, learning-rate scheduling, skip connections, adapted pretrained features, and a convolutional alternative.",required,PLANNED,PARTIAL_EXTENSION,Which architecture-level techniques improve generalization without unnecessary complexity?,"Moderate regularization and normalization will help stability, while excessive complexity will not consistently improve Macro F1.",architecture_ablation,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-008.json,validation_macro_f1,parameter_count | validation_accuracy | generalization_gap | training_time_seconds,TIER_3,architecture ablation table | learning curves | selection rationale,PLANNED,true,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-008/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-009,deep_learning_fundamentals,9,Different preprocessing steps,"Compare justified image scaling, resolution, feature extraction, and text length or vocabulary preprocessing variants.",optional_but_committed,PLANNED,PARTIAL_EXTENSION,Which preprocessing choices improve signal quality without introducing leakage or unnecessary dimensionality?,Task-aligned normalization and moderate resolution will outperform unscaled or unnecessarily large inputs.,preprocessing_ablation,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-009.json,validation_macro_f1,validation_accuracy | input_dimension | training_time_seconds | memory_estimate_mb,TIER_2,preprocessing table | distribution plots | trade-off discussion,PLANNED,true,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-009/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
FND-010,deep_learning_fundamentals,10,Break stuff intentionally,"Demonstrate failures from missing scaling, bad learning rates, excessive regularization, activation choice, misaligned labels, and vanishing gradients where feasible.",optional_but_committed,PLANNED,NEW_EXPERIMENT,Can common training failures be reproduced safely and detected through objective diagnostics?,"Each controlled fault will leave a distinct signature in loss, gradients, weights, timing, or alignment checks.",failure_diagnostics,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/FND-010.json,failure_signature_detected,loss_finiteness | gradient_norm | weight_norm | training_time_seconds | alignment_check,TIER_1,failure signature table | diagnostic curves | prevention checklist,PLANNED,false,,notebooks/course_coverage/01_fundamentals_experiments.ipynb | reports/course_coverage/fundamentals/FND-010/,,Run only in isolated diagnostic configurations. | Never train on validation data and never access the locked test split. | Misaligned labels are generated in memory from train-only copies and are not committed.
SEQ-001,transformers_and_sequence_modelling,1,Load and inspect text data,"Inspect text features, lengths, vocabulary, label balance, and representative descriptions.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,What linguistic patterns and sequence lengths characterize the automotive descriptions?,"Descriptions will be short and domain-specific, with category terms and compatibility cues carrying substantial signal.",text_eda,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-001.json,text_profile_complete,token_count_distribution | vocabulary_size | label_balance | oov_risk,TIER_0,text profile JSON | length plots | example table,PLANNED,false,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-001/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-002,transformers_and_sequence_modelling,2,Text dataset and data loader,Prepare a deterministic text dataset and loader with train-only fitting and stable validation transformation.,required,PLANNED,EXISTING_EVIDENCE_EXTEND,Does the text pipeline avoid validation vocabulary leakage and preserve grouped labels?,Train-only vocabulary fitting and deterministic validation batching will pass leakage and alignment checks.,text_data_pipeline,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-002.json,text_loader_contract_pass,alignment_checks | determinism_checks | vocabulary_leakage_checks,TIER_0,loader contract JSON | batch example | leakage audit,PLANNED,false,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-002/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-003,transformers_and_sequence_modelling,3,Tokenization,"Lowercase and tokenize descriptions, reserve pad and unknown tokens, and display raw text, tokens, IDs, and padded sequences.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,Does an explicit tokenizer produce reproducible sequences suitable for fair architecture comparisons?,A train-fitted word tokenizer with explicit special tokens will provide stable bounded-length inputs.,tokenization,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-003.json,tokenization_contract_pass,vocabulary_size | oov_rate | truncation_rate | padding_rate,TIER_0,tokenization example table | vocabulary summary | sequence length report,PLANNED,false,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-003/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-004,transformers_and_sequence_modelling,4,Dense embedding baseline,"Train an embedding, average-pooling, dense classifier with multiclass cross-entropy.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,How strong is the existing order-insensitive neural text baseline under the integrated split?,The dense embedding baseline will exceed majority performance but miss order-dependent cues.,embedding_average_classifier,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-004.json,validation_macro_f1,validation_accuracy | parameter_count | training_time_seconds | inference_time_ms,TIER_2,learning curves | metrics JSON | confusion matrix,PLANNED,true,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-004/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-005,transformers_and_sequence_modelling,5,Classical machine-learning baseline,Tune and compare a TF-IDF classical classifier against the dense neural baseline under the same grouped split.,optional_but_committed,PLANNED,EXISTING_EVIDENCE_EXTEND,Does sparse lexical modelling remain competitive with neural sequence representations on short domain text?,TF-IDF will remain a strong efficiency baseline but may generalize less well to paraphrased cues.,tfidf_logistic_regression,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-005.json,validation_macro_f1,validation_accuracy | training_time_seconds | inference_time_ms | feature_count,TIER_1,hyperparameter table | metrics JSON | error comparison,PLANNED,true,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-005/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-006,transformers_and_sequence_modelling,6,Text CNN and recurrent model,"Train a Text CNN and a GRU; include an LSTM variant if the diagnostic budget permits, and compare speed and parameters.",optional_but_committed,PLANNED,NEW_EXPERIMENT,Do local n-gram features or recurrent sequence state improve classification over average pooling?,"Text CNN will be efficient on short descriptions, while GRU may better capture ordered compatibility phrases.",text_cnn_and_gru,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-006.json,validation_macro_f1,validation_accuracy | parameter_count | epochs_to_best | training_time_seconds | inference_time_ms,TIER_2,model comparison table | learning curves | confusion matrices,PLANNED,true,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-006/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-007,transformers_and_sequence_modelling,7,Transformer encoder,"Build a small parameter-aware Transformer encoder and compare it fairly with dense, CNN, and recurrent models.",required,PLANNED,NEW_EXPERIMENT,Can self-attention improve validation performance or error structure on short automotive descriptions?,A compact Transformer may improve phrase interactions but will not necessarily outperform simpler models on limited data.,small_transformer_encoder,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-007.json,validation_macro_f1,validation_accuracy | parameter_count | training_time_seconds | inference_time_ms | seed_std_macro_f1,TIER_3,Transformer metrics | fairness table | learning curves,PLANNED,true,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-007/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-008,transformers_and_sequence_modelling,8,Evaluate and compare all sequence models,"Summarize train and validation curves, accuracy, Macro F1, confusion matrices, one-vs-rest ROC curves, examples, and cross-validation suitability.",required,PLANNED,PARTIAL_EXTENSION,"Which sequence model offers the best evidence-based baseline after performance, complexity, and failure analysis?","The preferred model will be selected by validation Macro F1 with efficiency and stability tie-breakers, not by accuracy alone.",comparative_evaluation,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-008.json,validation_macro_f1,validation_accuracy | per_class_f1 | ovr_roc_auc | parameter_count | training_time_seconds,TIER_2,comparison dashboard | confusion matrices | ROC curves | reviewed examples,PLANNED,false,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | notebooks/course_coverage/05_course_coverage_synthesis.ipynb | reports/course_coverage/sequence/SEQ-008/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-009,transformers_and_sequence_modelling,9,Inspect attention heads,Return per-head attention weights and visualize at least two heads for correct and incorrect examples.,required,PLANNED,NEW_EXPERIMENT,Do different attention heads focus on distinct tokens and plausible compatibility evidence?,"Some heads will specialize in category or mismatch cues, while others may show diffuse or positional behaviour.",attention_visualization,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-009.json,attention_evidence_review_pass,head_diversity_score | token_attention_summary | example_prediction_correctness,TIER_2,attention heatmaps | token-level interpretation | limitations note,PLANNED,false,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-009/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
SEQ-010,transformers_and_sequence_modelling,10,Pretrained transformer,"Adapt a compact pretrained transformer for classification and compare performance, attention, cost, and limitations.",optional_but_committed,PLANNED,NEW_EXPERIMENT,Does transfer learning improve representation quality enough to justify additional dependencies and compute?,"A compact pretrained encoder may improve robustness, but gains may be limited by the small domain-specific dataset.",pretrained_transformer,text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/SEQ-010.json,validation_macro_f1,validation_accuracy | parameter_count | trainable_parameter_count | training_time_seconds | inference_time_ms,TIER_4,pretrained comparison table | learning curves | attention examples | cost discussion,PLANNED,true,,notebooks/course_coverage/02_sequence_model_comparison.ipynb | reports/course_coverage/sequence/SEQ-010/,Explicit approval before downloading pretrained weights. | Record model license and exact revision.,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
VIS-001,vision_models,1,Load and inspect image data,"Inspect image dimensions, categories, labels, diversity, difficult examples, annotation inconsistencies, and build a Keras dataset.",required,PLANNED,EXISTING_EVIDENCE_EXTEND,"What visual diversity, category balance, and annotation ambiguity must the vision experiments account for?","The open-license dataset is balanced by label construction but contains category-specific backgrounds, scales, and fine-detail challenges.",image_eda,image,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/VIS-001.json,image_profile_complete,dimension_distribution | category_balance | brightness_distribution | duplicate_check,TIER_0,image profile JSON | example gallery | annotation review table,PLANNED,false,,notebooks/course_coverage/03_vision_model_comparison.ipynb | reports/course_coverage/vision/VIS-001/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
VIS-002,vision_models,2,Frozen architecture backbones,"Compare two or three frozen backbones, including convolutional and transformer families, with constant splits, resizing, metrics, and dense heads.",required,PLANNED,NEW_EXPERIMENT,Which frozen pretrained representation best transfers to automotive-part classification and multimodal matching?,"A modern convolutional backbone will provide strong efficiency, while a compact vision transformer may capture broader shape context.",frozen_backbone_comparison,image,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/VIS-002.json,validation_macro_f1,validation_accuracy | per_category_f1 | embedding_length | inference_time_ms | parameter_count,TIER_4,backbone comparison table | embedding cache manifest | timing report,PLANNED,true,,notebooks/course_coverage/03_vision_model_comparison.ipynb | reports/course_coverage/vision/VIS-002/,Explicit approval before downloading pretrained weights. | Record model license and exact weight revision.,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
VIS-003,vision_models,3,Compatibility scoring,"Learn image-text compatibility scores, compare at least two equal-pair strategies, and test reversed-pair antisymmetry.",required,PLANNED,NEW_EXPERIMENT,Can the three-class relation task be represented as an ordered compatibility score with stable pairwise differences?,"MATCH descriptions will receive higher scores than PARTIAL_MATCH and MISMATCH, with flip consistency near antisymmetry.",compatibility_scoring,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/VIS-003.json,pairwise_ranking_accuracy,three_way_ordering_accuracy | flip_consistency_error | equal_pair_accuracy | margin_distribution,TIER_3,score distributions | equal-pair strategy comparison | flip consistency report,PLANNED,true,,notebooks/course_coverage/04_scoring_ranking_explainability.ipynb | reports/course_coverage/vision/VIS-003/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
VIS-004,vision_models,4,Representation and resolution inspection,"Compare final and intermediate convolutional features, transformer token pooling choices, and two or three image resolutions.",required,PLANNED,NEW_EXPERIMENT,Which representation layer and resolution preserve useful part detail without excessive compute?,"Intermediate or multi-scale features may help fine details, while higher resolution will benefit only selected categories.",representation_resolution_ablation,image,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/VIS-004.json,validation_macro_f1,per_category_f1 | embedding_length | inference_time_ms | memory_estimate_mb,TIER_3,representation table | resolution curves | category-specific analysis,PLANNED,true,,notebooks/course_coverage/03_vision_model_comparison.ipynb | reports/course_coverage/vision/VIS-004/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
VIS-005,vision_models,5,Local evidence and explainability,"Use at least one model-independent method such as occlusion, masking, crop-and-retest, or perturbation to identify influential regions.",required,PLANNED,NEW_EXPERIMENT,Do image models rely on plausible part regions rather than backgrounds or collection shortcuts?,"Correct predictions will depend on housings, connectors, openings, filters, lenses, or mounting details rather than background alone.",model_independent_explainability,image,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/VIS-005.json,plausible_region_review_rate,prediction_delta_by_region | background_sensitivity | failure_case_count,TIER_2,occlusion maps | region perturbation table | failure examples,PLANNED,false,,notebooks/course_coverage/03_vision_model_comparison.ipynb | notebooks/course_coverage/04_scoring_ranking_explainability.ipynb | reports/course_coverage/vision/VIS-005/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
VIS-006,vision_models,6,Controlled fine-tuning,"Gradually compare frozen features, trainable head, final block, final third, and limited full fine-tuning with controlled optimization.",required,PLANNED,NEW_EXPERIMENT,How much validation improvement justifies unfreezing additional pretrained parameters?,"Partial fine-tuning may improve category-sensitive features, but full fine-tuning will overfit unless tightly controlled.",pretrained_fine_tuning,image,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/VIS-006.json,validation_macro_f1,per_category_f1 | ovr_roc_auc | trainable_parameter_count | training_time_seconds | memory_estimate_mb | calibration_error,TIER_4,fine-tuning ladder table | learning curves | calibration report | failure taxonomy,PLANNED,true,,notebooks/course_coverage/03_vision_model_comparison.ipynb | reports/course_coverage/vision/VIS-006/,VIS-002 champion frozen backbone selected on validation only. | Explicit operator approval for Tier 4 execution.,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
VIS-007,vision_models,7,Annotator confidence and agreement,"Collect a genuine independently annotated subset and compare filtering, agreement weighting, confidence weighting, and soft targets.",optional_but_committed,PLANNED,NEW_EXPERIMENT_REQUIRES_HUMAN_DATA,How do label confidence and inter-annotator agreement affect calibration and performance on clear versus ambiguous examples?,Agreement-aware training may improve calibration on ambiguous PARTIAL_MATCH cases without inflating clear-case accuracy.,annotation_agreement_analysis,image | text | human_annotation,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/VIS-007.json,validation_macro_f1_by_agreement_group,calibration_error | high_agreement_f1 | low_agreement_f1 | equal_pair_accuracy | agreement_coefficient,TIER_2,annotation protocol | independent labels | agreement report | calibration plots,PLANNED,false,,notebooks/course_coverage/04_scoring_ranking_explainability.ipynb | reports/course_coverage/vision/VIS-007/,At least two real independent human annotators. | Record confidence before adjudication. | Do not infer or fabricate agreement from existing single-author labels.,Human agreement metrics must be based on genuine independent annotations. | Do not simulate annotators or report synthetic agreement as human evidence. | Train and validation evidence only; test remains locked.
VIS-008,vision_models,8,Failure-driven data augmentation,"Identify real failures, test augmentations individually, document label validity, then evaluate a justified combined pipeline.",required,PLANNED,NEW_EXPERIMENT,Which label-preserving transformations improve robustness to observed capture variation without damaging fine detail?,"Moderate crop, exposure, compression, and background variation will help targeted failures, while aggressive transforms may harm detail-sensitive categories.",augmentation_ablation,image,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/VIS-008.json,validation_macro_f1,per_category_f1 | robustness_delta | calibration_error | training_time_seconds,TIER_3,failure-to-augmentation matrix | individual ablations | combined pipeline result,PLANNED,true,,notebooks/course_coverage/03_vision_model_comparison.ipynb | reports/course_coverage/vision/VIS-008/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
VIS-009,vision_models,9,Ranking metrics,"Measure pairwise consistency, flip consistency, transitivity, equal-pair accuracy, agreement-stratified performance, parameters, and inference time.",optional_but_committed,PLANNED,NEW_EXPERIMENT,Do compatibility scores form a coherent ordering beyond ordinary three-class accuracy?,"A useful scorer will preserve pair reversal and most ordering triples, while ambiguous partial matches will dominate cycles and low margins.",ranking_evaluation,image | text,integrated_dataset_step_010_2,data/processed/integrated_train.csv,data/processed/integrated_validation.csv,false,,false,"primary seed 42; retained comparisons repeat seeds 42, 43, and 44",configs/course_coverage/experiments/VIS-009.json,pairwise_ranking_accuracy,flip_consistency_error | cycle_consistency | equal_pair_accuracy | parameter_count | inference_time_ms,TIER_2,ranking metrics table | cycle analysis | margin plots,PLANNED,false,,notebooks/course_coverage/04_scoring_ranking_explainability.ipynb | notebooks/course_coverage/05_course_coverage_synthesis.ipynb | reports/course_coverage/vision/VIS-009/,,"Train and validation evidence only. | Do not load, inspect, score, or tune against the locked test split."
