sample_id,description,label,token_count,encoded_sequence
brake_disc_001_01_mismatch,Automotive shock absorber.,MISMATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coil_spring_003_01_match,Automotive coil spring.,MATCH,3,"[2, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_001_01_match,Automotive shock absorber.,MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_pad_20811161_match,Automotive brake pad.,MATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_001_01_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_003_01_match,Automotive alternator.,MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_disc_003_01_match,Automotive brake disc.,MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_2119919_partial_match,Automotive brake pad.,PARTIAL_MATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_shock_absorber_1196183_partial_match,Automotive suspension coil spring.,PARTIAL_MATCH,4,"[2, 20, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_1048980_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_1859134_match,Automotive headlight assembly.,MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_003_01_match,Automotive shock absorber.,MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_32848093_match,Automotive brake disc.,MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_003_01_mismatch,Automotive oil filter.,MISMATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_2088950_match,Automotive engine air filter.,MATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_003_01_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_475880_match,Automotive engine air filter.,MATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_1650041_partial_match,Automotive alternator.,PARTIAL_MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_2096229_match,Automotive headlight assembly.,MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_10186168_partial_match,Automotive starter motor.,PARTIAL_MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_2096229_mismatch,Automotive engine oil filter.,MISMATCH,4,"[2, 13, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_13616832_match,Automotive starter motor.,MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_003_01_partial_match,Automotive taillight assembly.,PARTIAL_MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_pad_002_01_match,Automotive brake pad set.,MATCH,4,"[2, 4, 17, 21, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_001_01_match,Automotive alternator.,MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_001_01_mismatch,Automotive oil filter.,MISMATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_1242324_match,Automotive alternator.,MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_disc_001_01_match,Automotive brake disc.,MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_002_01_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_001_01_partial_match,Automotive headlight assembly.,PARTIAL_MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_shock_absorber_1196179_mismatch,Automotive headlight assembly.,MISMATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_10186168_mismatch,Automotive brake pad.,MISMATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_002_01_partial_match,Automotive taillight assembly.,PARTIAL_MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_taillight_18026985_match,Automotive taillight assembly.,MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_2119919_match,Automotive brake disc.,MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_pad_001_01_partial_match,Automotive brake disc.,PARTIAL_MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_1048980_match,Automotive starter motor.,MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_1012105_partial_match,Automotive brake pad.,PARTIAL_MATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_2119919_mismatch,Automotive shock absorber.,MISMATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_pad_002_01_mismatch,Automotive shock absorber.,MISMATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_002_01_match,Automotive alternator.,MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coil_spring_002_01_partial_match,Automotive shock absorber.,PARTIAL_MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_1650041_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_oil_filter_1012231_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_003_01_partial_match,Automotive coil spring.,PARTIAL_MATCH,3,"[2, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_taillight_1900673_match,Automotive taillight assembly.,MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_1603335_match,Automotive headlight assembly.,MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coil_spring_001_01_partial_match,Automotive shock absorber.,PARTIAL_MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
starter_003_01_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_shock_absorber_1196186_mismatch,Automotive headlight assembly.,MISMATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_001_01_match,Automotive taillight assembly.,MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_002_01_match,Automotive shock absorber.,MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
air_filter_001_01_partial_match,Automotive oil filter.,PARTIAL_MATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_002_01_partial_match,Automotive headlight assembly.,PARTIAL_MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_2088950_mismatch,Automotive alternator.,MISMATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_coil_spring_1435750_mismatch,Automotive taillight assembly.,MISMATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_003_01_partial_match,Automotive air filter.,PARTIAL_MATCH,3,"[2, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_coil_spring_1136563_mismatch,Automotive taillight assembly.,MISMATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_002_01_match,Automotive oil filter.,MATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_disc_003_01_partial_match,Automotive brake pad set.,PARTIAL_MATCH,4,"[2, 4, 17, 21, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_001_01_partial_match,Automotive coil spring.,PARTIAL_MATCH,3,"[2, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_2096229_partial_match,Automotive taillight assembly.,PARTIAL_MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_shock_absorber_1196183_match,Automotive shock absorber.,MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_pad_18661413_mismatch,Automotive suspension coil spring.,MISMATCH,4,"[2, 20, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0]"
coil_spring_001_01_match,Automotive coil spring.,MATCH,3,"[2, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
starter_001_01_partial_match,Automotive alternator.,PARTIAL_MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_disc_002_01_mismatch,Automotive shock absorber.,MISMATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_oil_filter_1158213_partial_match,Automotive engine air filter.,PARTIAL_MATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_pad_18661413_match,Automotive brake pad.,MATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_001_01_partial_match,Automotive air filter.,PARTIAL_MATCH,3,"[2, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_001_01_partial_match,Automotive starter motor.,PARTIAL_MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
air_filter_003_01_match,Automotive air filter.,MATCH,3,"[2, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_pad_001_01_match,Automotive brake pad set.,MATCH,4,"[2, 4, 17, 21, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_shock_absorber_1196183_mismatch,Automotive headlight assembly.,MISMATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
air_filter_002_01_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_pad_002_01_partial_match,Automotive brake disc.,PARTIAL_MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_oil_filter_1012231_partial_match,Automotive engine air filter.,PARTIAL_MATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_taillight_18026985_partial_match,Automotive headlight assembly.,PARTIAL_MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_1859134_partial_match,Automotive taillight assembly.,PARTIAL_MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_001_01_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_shock_absorber_1196186_match,Automotive shock absorber.,MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_taillight_1900673_mismatch,Automotive engine air filter.,MISMATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
air_filter_001_01_match,Automotive air filter.,MATCH,3,"[2, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_001_01_mismatch,Automotive oil filter.,MISMATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_32848093_mismatch,Automotive shock absorber.,MISMATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_1012105_mismatch,Automotive shock absorber.,MISMATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coil_spring_003_01_partial_match,Automotive shock absorber.,PARTIAL_MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_1650041_match,Automotive starter motor.,MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_pad_001_01_mismatch,Automotive shock absorber.,MISMATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coil_spring_002_01_mismatch,Automotive headlight assembly.,MISMATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_002_01_match,Automotive headlight assembly.,MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_002_01_mismatch,Automotive oil filter.,MISMATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_disc_003_01_mismatch,Automotive shock absorber.,MISMATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_disc_002_01_partial_match,Automotive brake pad set.,PARTIAL_MATCH,4,"[2, 4, 17, 21, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_001_01_match,Automotive oil filter.,MATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_coil_spring_1136563_match,Automotive suspension coil spring.,MATCH,4,"[2, 20, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_pad_20811161_mismatch,Automotive suspension coil spring.,MISMATCH,4,"[2, 20, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_coil_spring_1435750_match,Automotive suspension coil spring.,MATCH,4,"[2, 20, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0]"
coil_spring_002_01_match,Automotive coil spring.,MATCH,3,"[2, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_shock_absorber_1196179_match,Automotive shock absorber.,MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_coil_spring_1435750_partial_match,Automotive shock absorber.,PARTIAL_MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_taillight_18026985_mismatch,Automotive engine air filter.,MISMATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_002_01_mismatch,Automotive oil filter.,MISMATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
starter_002_01_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_2088950_partial_match,Automotive engine oil filter.,PARTIAL_MATCH,4,"[2, 13, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_1859134_mismatch,Automotive engine oil filter.,MISMATCH,4,"[2, 13, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_001_01_partial_match,Automotive taillight assembly.,PARTIAL_MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
starter_003_01_match,Automotive starter motor.,MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_1242324_mismatch,Automotive brake pad.,MISMATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_pad_16498941_mismatch,Automotive suspension coil spring.,MISMATCH,4,"[2, 20, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_pad_003_01_match,Automotive brake pad set.,MATCH,4,"[2, 4, 17, 21, 0, 0, 0, 0, 0, 0, 0, 0]"
coil_spring_003_01_mismatch,Automotive headlight assembly.,MISMATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_001_01_match,Automotive headlight assembly.,MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_003_01_match,Automotive headlight assembly.,MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_1242324_partial_match,Automotive starter motor.,PARTIAL_MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_003_01_mismatch,Automotive oil filter.,MISMATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_1048980_partial_match,Automotive alternator.,PARTIAL_MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_13616832_partial_match,Automotive alternator.,PARTIAL_MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_oil_filter_1158214_match,Automotive engine oil filter.,MATCH,4,"[2, 13, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_475880_partial_match,Automotive engine oil filter.,PARTIAL_MATCH,4,"[2, 13, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
air_filter_002_01_partial_match,Automotive oil filter.,PARTIAL_MATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
starter_001_01_match,Automotive starter motor.,MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
air_filter_002_01_match,Automotive air filter.,MATCH,3,"[2, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
starter_002_01_partial_match,Automotive alternator.,PARTIAL_MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_220313_mismatch,Automotive alternator.,MISMATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_pad_003_01_partial_match,Automotive brake disc.,PARTIAL_MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_pad_20811161_partial_match,Automotive brake disc.,PARTIAL_MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_pad_18661413_partial_match,Automotive brake disc.,PARTIAL_MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_pad_003_01_mismatch,Automotive shock absorber.,MISMATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
air_filter_003_01_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_shock_absorber_1196179_partial_match,Automotive suspension coil spring.,PARTIAL_MATCH,4,"[2, 20, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_1603335_mismatch,Automotive engine oil filter.,MISMATCH,4,"[2, 13, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_coil_spring_1136563_partial_match,Automotive shock absorber.,PARTIAL_MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_002_01_partial_match,Automotive coil spring.,PARTIAL_MATCH,3,"[2, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
starter_001_01_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_coil_spring_18496373_partial_match,Automotive shock absorber.,PARTIAL_MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
air_filter_003_01_partial_match,Automotive oil filter.,PARTIAL_MATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_002_01_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_10186172_partial_match,Automotive starter motor.,PARTIAL_MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_001_01_mismatch,Automotive headlight assembly.,MISMATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_taillight_18027695_partial_match,Automotive headlight assembly.,PARTIAL_MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_003_01_partial_match,Automotive starter motor.,PARTIAL_MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_pad_16498941_match,Automotive brake pad.,MATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_003_01_mismatch,Automotive headlight assembly.,MISMATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_taillight_1900673_partial_match,Automotive headlight assembly.,PARTIAL_MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_003_01_match,Automotive oil filter.,MATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
starter_002_01_match,Automotive starter motor.,MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_1012105_match,Automotive brake disc.,MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_10186168_match,Automotive alternator.,MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_oil_filter_1158214_partial_match,Automotive engine air filter.,PARTIAL_MATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_220313_partial_match,Automotive engine oil filter.,PARTIAL_MATCH,4,"[2, 13, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_003_01_match,Automotive taillight assembly.,MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_10186172_mismatch,Automotive brake pad.,MISMATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_220313_match,Automotive engine air filter.,MATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_coil_spring_18496373_mismatch,Automotive taillight assembly.,MISMATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_disc_002_01_match,Automotive brake disc.,MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_10186172_match,Automotive alternator.,MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_002_01_match,Automotive taillight assembly.,MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_taillight_18027695_match,Automotive taillight assembly.,MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coil_spring_001_01_mismatch,Automotive headlight assembly.,MISMATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_002_01_mismatch,Automotive headlight assembly.,MISMATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
starter_003_01_partial_match,Automotive alternator.,PARTIAL_MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
air_filter_001_01_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_475880_mismatch,Automotive alternator.,MISMATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_002_01_partial_match,Automotive air filter.,PARTIAL_MATCH,3,"[2, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_taillight_18027695_mismatch,Automotive engine air filter.,MISMATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_003_01_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_oil_filter_1158213_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_oil_filter_1012231_match,Automotive engine oil filter.,MATCH,4,"[2, 13, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_shock_absorber_1196186_partial_match,Automotive suspension coil spring.,PARTIAL_MATCH,4,"[2, 20, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_coil_spring_18496373_match,Automotive suspension coil spring.,MATCH,4,"[2, 20, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_pad_16498941_partial_match,Automotive brake disc.,PARTIAL_MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_13616832_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_003_01_partial_match,Automotive headlight assembly.,PARTIAL_MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_disc_001_01_partial_match,Automotive brake pad set.,PARTIAL_MATCH,4,"[2, 4, 17, 21, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_32848093_partial_match,Automotive brake pad.,PARTIAL_MATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_oil_filter_1158214_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_002_01_partial_match,Automotive starter motor.,PARTIAL_MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_1603335_partial_match,Automotive taillight assembly.,PARTIAL_MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_oil_filter_1158213_match,Automotive engine oil filter.,MATCH,4,"[2, 13, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
